X2_phon,Freq
aRog@s,3.92
aRog@t,1.12
aRoz2z,0.45
aRtER,5.13
aRteRjopati,0.16
aRteRjoskleRoz,0.17
aRtRit,1.75
aRtRoz,0.86
aRtikylasj6,1.51
aRtijRi,8.63
aRtizan,3.09
aRjEn,0.15
aRitmi,0.64
as@d@s,0.24
as@sj6,3.87
aEs9,18.8
asosjal,0.1
aspERZ,1.74
asfiksi,1.19
aspiR@t,1.35
aspiRasj6,3.99
aspiRin,9.18
asafetida,0.27
as,0.66
as@ble,7.34
asERsj6,0.1
asjeZe,0.27
asid8ite,0.36
asjEt,21.24
asiNasj6,1.68
asimilasj6,0.14
asiz,3.88
asist@s,10.23
asist@t,31.93
asosje,22.51
asosjasj6,12.02
asyRe,0.8
asyR@s,29.8
asyR@saksid@,0.1
asyR@svi,1.32
astRoloZi,0.87
astRonomi,0.91
astRofizisjEn,0.14
astRofizik,0.28
astys,3.36
asimetRi,0.49
asistoli,0.27
atenjEn,0.1
atmosfER,13.85
atRosite,3.92
atRofi,0.39
atRopin,0.86
ataSe,2.63
ataS,2.95
atak@t,1.13
atak,59.92
ataRde,1.58
at5t,2.03
atEl,0.83
at@t,25.07
at@sj6,158.52
atEstasj6,1
atiR@s,2.39
atityd,23.03
atRaksj6,7.45
atRap,10.55
atRibysj6,1.4
obEn,1.08
ob,30.32
obERZ,14.44
obERZin,1.44
odas,5.12
odj@s,14.02
odisj6,11.64
Odisj6,11.64
oditRis,3.15
oZ,0.52
ogm@tasj6,6.85
omon,3.57
omonjER,1.51
oRa,14.48
oReOl,1.29
oROR,3.68
osteRite,0.64
ostRaljEn,0.17
otaRsi,0.17
ot9R,23.52
ot@tisite,1.05
ot@tifikasj6,0.33
otoekOl,0.58
otostop2z,0.67
otot@pon2z,0.26
otobjogRafi,1.26
otos@syR,0.35
otokRasi,0.1
otokRitik,0.16
otodef@s,1.74
otodetERminasj6,0.47
otodEstRyksj6,2.14
otodisiplin,0.18
otoZEstj6,0.14
otogRaf,8.52
otomasj6,0.14
otomatizasj6,0.14
otomitRaj2z,0.1
otomobil,3.71
otomytilasj6,0.2
otonomi,2.76
otOpsi,12.23
otoRegylasj6,0.14
otoRizasj6,21.1
otoRite,32.95
otoRut,14.76
oto,18.66
otosatisfaksj6,0.13
otRiSjEn,4.25
otRyS,3.53
aval@S,2.75
aval2z,0.68
av@se,2.25
av@s,69.25
av@gaRd,1.52
av@pR9mjER,0.5
av@sEn,0.73
avaRis,1.18
avaRi,1.19
av@tyR,29.66
av@tyRjER,2.51
avny,8.7
avERs,1.77
avERsj6,0.97
avjasj6,5.18
avjatRis,3.09
avikyltyR,0.1
avidite,1.05
avjonik,0.13
avokat,112.69
avwan,1.54
avORt2z,0.37
azale,0.13
baS,2.4
bataRd,13.66
batis,0.93
batis2z,1
byS,2.91
byS2z,0.2
be@s,0.16
beatityd,0.58
bekan,1.77
bekas,1.56
beSamEl,0.37
bede,0.29
bedwin,0.23
beEm,0.2
benediktin,0.19
benediksj6,11.15
beosjEn,0.23
bekij,2.7
betajER,0.16
beton2z,0.32
betonjER,0.23
bevy,0.36
bajonEt,2.33
bES,0.46
bES2z,0.4
bEtas,2.36
bEt,67.67
betiz,39.31
babal,0.18
babin,0.33
babjOl,1.85
babuSka,0.12
babwin,2
babisit9R,7.85
babilonjEn,0.11
bakanal,0.39
bak@t,0.67
bakteRi,5
bakteRjoloZi,0.11
baf,2.93
bagaR,19.24
bagaR2z,0.49
bagas,0.15
bagatEl,1.08
baNOl,23.93
bag,30.32
bagEt,7.74
bE,7.09
bENad,1.1
bEN2z,0.43
bENwaR,12.39
baj,0.27
bEz,7.66
bEz2z,2
bEs,12.37
baZu,0.49
balad,7.71
balad2z,0.34
balafR,0.57
bal@swaR,2.14
bal@s,8.19
bal@sEl,0.18
balEjEt,0.33
balEj2z,0.82
bal,0.5
balEn,16.68
balenjER,0.3
baliz,2.82
balistik,1.06
balivERn,2.79
balad,4.54
bal,122.07
balRin,1.75
balystRad,0.61
b@bin,1.35
b@bula,1.29
banalite,1.47
banan,11.14
bananRE,0.14
b@d,78.36
b@dan6s,0.51
b@dlEt,0.69
b@dRa,0.17
b@dROl,1.34
b@duljER,0.12
b@lj2,7.92
b@lj2zaRd,0.23
banjER,2.14
bani,0.51
b@k,79.35
b@kRut,1.02
b@kEt,3.02
b@kjER,6.38
b@kiz,0.66
baRmisva,0.41
baRaka,0.18
baRak,12.27
baRatin2z,0.74
baRbak,0.24
baRbaRi,1.37
baRbiS,0.18
baRbiSEt,0.38
baRZ,1
baRmEd,0.67
baROn,20.82
baRud2z,0.32
baRk,10.4
baRkEt,0.27
baR,18.78
baREt,0.46
baRjER,9.13
baRikad,2.68
baRik,0.99
baRtavEl,1.61
baskyl,1.1
baz,59.22
bazilik,0.66
baskEt2z,0.43
bas,2.89
baskuR,0.81
basEs,1.72
basin,1.59
bastid,1.14
bastij,1.81
bastonad,0.13
bastOs,0.42
bataj,32.02
bat@t,1.73
bat,6.87
batRi,14.24
bat2z,4.61
baty,1.55
bodRyS,0.32
boZ,0.14
boksit,0.18
bavaRd,1.81
bav,2.1
bavEt,0.35
bav2z,0.16
bavyR,1.65
bajadER,0.21
bote,72.56
bEkt@s,0.1
b9dEn,0.89
bEN,0.58
b9lEt,2.01
beladOn,0.15
bEl,50.85
bElfamij,0.71
bElfij,3.32
bElmER,16.54
bElmam@,0.85
bEls9R,13.14
bEllyREt,0.75
b9lOt,0.26
b5Zamin,0.81
bEn,2.38
bERs2z,1.83
bERZER,11.84
bERgamOt,0.16
bERZ,2.77
bERZ9Ri,0.99
bERl,0.13
bERlin,1.03
bERlinwaz,0.18
bERly,0.3
bERn,0.11
bERz5g,0.28
b9zas,0.13
b9zON,2.71
bEstjalite,0.42
bEstjOl,5.07
bEt,1.6
bEtRav,1.47
b9vRi,0.79
bjER,81.67
bibin,0.73
bibl,17.79
biblijogRafi,0.17
biblijotEk,19.86
biS,5.8
bikOk,0.94
bisiklEt,8.06
bidOS,0.33
biduj,0.19
bjEl,1.86
bj5neme,8.5
bj5f9z@s,1.69
bj5fEtRis,3.4
bj5n2R2z,1.22
bj5se@s,0.64
bj5vEj@s,2.32
bj5vny,22.63
bif,0.33
bifyRkasj6,0.33
bigami,0.37
bigl2z,1.88
bigOt,0.5
bigOtRi,0.14
bigin,0.1
biZutRi,2.41
biZutjER,1.64
bil,2.78
bij,5.21
bijEtRi,0.19
bilv9ze,0.27
binEt,0.27
bjoSimi,0.63
bjogRafi,2.82
bjoloZi,4.13
bjomekanik,0.16
bjOpsi,2.19
bjotEknik,0.15
bjotEknoloZi,0.22
bik,0.94
bikEt,0.46
biRman,0.29
biRut,0.18
biskOt,1.95
biz,3.84
bisk,0.41
bistORt,0.14
bistukEt,0.22
bistROt,3.3
bit,26.41
bit,0.72
bityR,0.12
bizaR9Ri,1.12
blag,72.63
blag2z,0.35
bl@S,8.31
bl@S9R,1.23
bl@SisRi,1.23
bl@Sis2z,1.11
bl@kEt,0.17
blasfematRis,0.68
blat,0.86
blenoRaZi,0.14
blese,21.88
blesyR,41.81
blEt,0.16
bl2zaj,0.38
bl5d,0.12
bl6d,22.65
bl6d9R,0.2
bluz,5.68
bl9f2z,0.3
bwat,88.81
bobin,3.63
bobinEt,0.14
bobOn,0.79
bod9ga,0.65
bOdi,2.21
boemjEn,4.08
bwazRi,0.26
bwas6,18.55
bola,0.25
bolivjEn,0.39
b6b@s,0.23
b6baRd,0.19
b6b,64.39
b6bOn,0.23
b6bOn,0.47
b6bonjER,0.14
b6d,0.24
boniS,1.28
bOn,59.44
bOnmam@,0.14
bonEtRi,0.14
bOnEt,0.14
bonEt,0.14
boniS,0.45
b6te,17.88
bORe,0.14
bORde,0.39
bORd9lEz,0.14
bORdyR,1.11
bORn,8.35
bosanova,0.12
bOs,7.24
bos2z,0.59
botanik,0.62
bOt,32.19
botin,2.27
bwe,2.04
buSER,8.26
buSe,5.61
buS,90.03
buSRi,4.11
bukl,18.86
buklEt,0.56
budRi,0.12
budin,0.1
bu,15.1
bufe,2.89
bufaRd,0.2
buf,14.51
buf2z,0.84
bufOn,6.79
bufOnRi,0.42
buZOt,1.04
buZi,18.32
bujabEs,0.66
bujas,0.17
buj,0.8
buji,4.42
bujwaR,1.61
bujOt,0.69
buka,0.14
bul@ZER,3
bul@Z,0.1
bul@ZRi,4.01
bul,30.68
bulEt,6.13
bulimi,0.26
bulOt,0.27
buRd,1.54
buRgad,0.46
buRZwaz,6.02
buRZwazi,3.65
buRZ,1.22
buRask,0.77
buRik,1.97
buRs,19.66
buRsjER,0.17
buskylad,0.9
buz,1.93
buz2z,2.44
busOl,2.91
bustifaj,0.23
butad,0.25
but@S,0.17
butEj,57.24
butik,26.53
butikjER,0.18
butonjER,0.73
bOks,9.32
bOks2z,8.71
bRES,3.83
bREv,0.14
bRyle,2.35
bRyl2z,0.37
bRylyR,6.47
bReziljEn,2.88
bRakonjER,0.85
bRadRi,0.31
bRadikaRdi,0.17
bRagEt,3.96
bREz,2.04
bR@S,18.07
bR@SEt,0.16
bR@Si,0.5
bR@dad,0.14
bR@le,0.8
bR@lEt,3.25
bR@l2z,5.22
bRak2z,3.12
bRas,0.67
bRasRi,1.89
bRasjER,0.55
bRavad,0.15
bRavuR,2.78
bREkdEns,0.1
bR9bi,7.02
bR9lOk,0.56
bR9tEl,2.63
bR9tOn,0.35
bRijEvte,0.13
bRib,0.88
bRikOl,1.83
bRikOl2z,0.58
bRid,1.79
bRigad,16.65
bRij@s,0.27
bRij@tin,0.1
bRimad,0.1
bR5dij,1.25
bR5g,1.27
bRijOS,2.55
bRik,13.56
bRikEt9Ri,0.45
bRize,0.2
bRiz,5.63
bRiz2z,1.11
bRok@t,0.86
bRok@t2z,0.29
bROS,4.57
bRoSEt,2.26
bRoSyR,2.88
bROdRi,0.97
bR6S,0.58
bR6Sit,1.16
bR6kOskOpi,0.13
bR6zEt,0.12
bROs,8.43
bRuEt,1.16
bRuj,0.11
bRusaj,1.94
bRus,0.95
bRutij,1.87
bRy,1.45
bRym,5.07
bRyn,5.2
bRynEt,0.35
bRytalite,3.11
bRyt,14.03
bR8ijER,0.58
b8e,0.32
b8@dRi,0.81
byl,8.11
byRokRasi,1.17
byREt,1.03
byRn,1.42
byz,1.28
byt,1.48
byvEt,0.76
byv2z,2.22
kot,35.16
kotlEt,3.38
kalin,6.38
kalinRi,0.1
kapR,0.31
sesite,1.12
selebRasj6,2.79
selebRite,6.42
seleRite,0.26
selimEn,0.79
sefale,0.1
seReal,4.67
seRemoni,23.82
seRamik,0.85
sezaRjEn,1.64
sezyR,0.14
kabal,0.73
kabajeRo,0.11
kaban,15.36
kabaR9tjER,0.25
kabin,20
kabOS,1.13
kabotin,0.2
kabRijOl,0.45
kakawEt,1
kakawEt,7.29
kaSEt,11.81
kaSOtRi,0.93
kaSotjER,0.71
kad@s,2.42
kadEt,7.39
kafein,1.58
kafeteRja,4.12
kafaRd2z,0.29
kafeteRja,0.11
kaf9tjER,2.07
kaft2z,0.51
kaZ,18.3
kaNOt,1.09
kagul,2.84
kayt,0.17
kajas,0.16
kaj,2.34
kEs,38.03
kesjER,4.32
kaZol2z,0.1
kaZ1,0.28
kalES,1.36
kalEz6,0.1
kalamite,2.21
kal@k,0.4
kalkylatRis,0.56
kalkylEt,0.2
kal,4.08
kalbas,0.12
kalifORnjEn,0.28
kOlg9Rl,1.36
kalg9Rl,1.36
kala,0.13
kaligRafi,1.09
kalOmnjatRis,0.12
kalOmni,4.49
kaloRi,1.43
kalOt,0.43
kalvisi,1.02
kame,0.58
kameRa,56.18
kameRist,0.18
kamaRadRi,1.23
k@bRiol2z,4.7
k@bRus,1.04
k@bRyR,0.2
kam,16.77
kamlOt,3.59
kamjonEt,10.77
kamizOl,2.62
kamomij,1.16
kamoRa,0.2
k@paN,51.12
k@panyl,0.18
k@p2z,0.68
kanadjEn,0.17
kanaj,6.09
kanalizasj6,1.47
kanasta,0.21
k@seR2z,0.18
k@d9R,1.27
k@didat,17.7
k@didatyR,2.71
kan,23.85
kanEt,1.95
kanikyl,0.38
kanin,0.47
kan,10.91
kanbERZ,0.46
kanEl,1.38
kanlyR,0.18
kanEt,0.66
kanonjER,0.34
k@tat,0.25
k@tatRis,0.59
k@tilEn,0.11
k@tin,4.23
k@tinjER,0.23
k@tonjER,0.19
kanyl,0.23
kapasite,17.29
kap,6.25
kaplin,0.11
kapitEnRi,0.15
kapital,13.35
kapitylasj6,0.81
kapoRal,10.22
kapOt,7.59
kapsyl,5.69
kaptiv,1.19
kaptivite,2.15
kaptyR,3
kapyS,1.6
kapysin,0.13
kak,0.12
kaREn,0.11
kaRabin,2.71
kaRabOs,0.12
kaRakteRistik,3.69
kaRaf,1.04
kaR@bOl,0.14
kaRapas,1.25
kaRavan,11.64
kaRavanjER,0.41
kaRavEl,0.32
kaRbOnad,0.14
kaRkas,2.58
kaRdamOm,0.19
kaRdjoloZi,0.82
kaR,1.42
kaR@s,1.06
kaREs,5.32
kaRgEz6,7.57
kaRikatyR,1.68
kaRi,0.89
kaRl5g,0.23
kaRmelit,0.4
kaRnasj6,0.3
kaRn,1.21
kaRON,0.14
kaRotid,0.84
kaROt,7.12
kaRub,0.13
kaRp,2.87
kaRpEt,0.35
kaRjER,36.54
kaRjOl,1.42
kaROsRi,1.45
kaRyR,0.94
kaRt,144.96
kaRtogRafi,0.37
kaRtom@sjEn,0.16
kaRtOtEk,0.1
kaRtuSjER,0.17
kaza,1.49
kazein,0.14
kazak,0.45
kasba,1.76
kaskad,4.41
kaskad2z,2.81
kaz,5.18
kazERn,8.99
kaskEt,9.73
kasasj6,0.85
kasROl,4.95
kasEt,32.4
kas2z,1.47
kasonad,0.32
kasyR,0.51
kastaN,0.15
kastaNEt,0.99
kast,0.73
kastijan,0.38
kastRasj6,0.47
kata,0.61
kategoRi,6.28
katenER,0.17
katak6b,2.04
katalan,1.09
katalEpsi,0.51
katapylt,1.42
kataRakt,0.54
katastROf,16.47
katatoni,0.19
katS2z,0.76
katedRal,4.67
kataRsis,0.23
katOd,0.32
kat5,2.83
kato,1
kokazjEn,0.19
kozalite,0.23
koz,218.6
kozRi,0.3
kozEt,0.71
koz2z,0.58
kosj6,10.88
kavalkad,0.22
kaval,4
kavalRi,6.6
kaval2z,0.19
kavaljER,10.95
kav,22.4
kavERn,6.58
kavEt,0.14
kavite,1.89
s5tyR,22.57
sEla,0.28
selofan,0.39
selyl,42.98
selylit,0.66
selyloz,0.12
s@dR,17.18
s@syR,2.87
s@tEn,29.22
s@tRal,8.04
s@tRalizasj6,0.16
s@tRifyZ2z,0.28
s9RizE,0.36
s9Riz,5.26
sERtityd,10.18
sERvEl,14.56
sEsasj6,0.11
sEs,28.88
sEsj6,0.22
SER,26.65
SEvR,14.08
Som2z,4.55
Sas,0.29
SatEN,1.24
SatlEn,0.3
SeSja,0.27
SeRi,171.98
SEn,38.8
SEnEt,0.26
Sagat,0.21
SER,37.07
SER,1.46
SEz,40.02
Sal9R,39.13
Salup,0.82
Samad,0.75
SamajRi,0.77
S@bRe,0.98
S@bR,288.64
S@bREt,0.24
SamEl,10.99
S@pjOn,35.02
S@saRd,0.17
S@s9ljER,3.08
S@sElRi,1.21
S@s,360.6
S@dl9R,0.52
S@dEl,5.15
S@Z2z,0.47
S@s6,84.92
S@sonEt,1.25
S@t2z,21.17
S@tiji,0.59
Sap,0.1
SapEl,7.42
SaplyR,0.31
Sapka,0.23
SaRad,0.53
SaRkytRi,0.94
