X2_phon,Freq
elok@s,1.3
ely,4.41
elykybRasj6,0.18
elize,0.16
emetik,0.14
emaj,0.57
emanasj6,0.78
em@sipasj6,1.12
emo,0.57
EmRod,2.77
emERZ@s,0.49
EmRi,0.16
emERvEjm@,0.58
emet9R,3.35
em2t,6.75
em2tje,0.26
emigRe,0.91
emigRe,0.91
emigR@,0.5
emigR@t,0.5
emigRasj6,0.6
em5se,0.15
emin@s,1.19
emiR,0.86
emisER,2.03
emisj6,32.31
emwa,1.71
emotif,0.16
emosj6,26.33
emotivite,0.15
emylsj6,0.24
enERZi,43.06
enERv9m@,0.34
enigm,7.29
en6se,0.64
enORmite,0.38
enymeRasj6,0.2
eolj5,0.14
eoljEn,0.14
epe,32.81
epitR,0.4
epaN9l,0.27
epaN9l,0.27
epEs9R,2.16
ep@Sm@,0.14
ep@daZ,0.11
epanwism@,0.62
epaRN@,0.17
epaRN,3.13
epat,0.19
epolaR,0.28
epol,32.41
epolEt,0.81
epav,7.5
epR6,1.07
epERvje,0.27
efEb,0.21
efemER,0.2
epi,1.61
epis,3.06
epis@tR,0.53
episRi,6.79
episjER,2.81
episje,2.81
epidemi,9.05
epidemjoloZi,0.14
epidERm,0.46
epj2,0.44
epigon,0.2
epilasj6,0.53
epilEpsi,1.89
epilOg,0.29
epinaR,1.91
epin,5.81
ep5gl,5.57
epifani,0.23
epifiz,0.16
epizOd,17.32
epitaf,0.72
epitEt,0.17
epitEt,0.17
epiteljOm,0.19
eplySyR,0.23
ep6Z,7.11
epope,1.2
epOk,68.44
epuze,0.14
epuzaj,0.29
epuz,65.34
epuz9R,0.4
epuv@taj,2.31
epuv@t,1.93
epu,65.34
epR9v,23.43
epRuvEt,0.59
ep8izm@,1.94
ep8izEt,0.51
epyRat9R,0.15
epyRasj6,0.46
epyR,0.28
ekwat9R,0.38
ekwasj6,3.5
ekER,0.2
ek8idist@s,0.11
ekilibRaZ,0.17
ekilibR,10.66
ekinOks,0.44
ekipe,0.18
ekipaZ,19.91
ekip,129.97
ekipm@,12.82
ekipjER,4.34
ekipje,4.34
ekite,0.79
ekitasj6,1.14
ekival@s,0.22
ekival@,2.45
ekivOk,0.78
eRabl,1.15
eRadikasj6,0.31
eRaflyR,1.75
eREksj6,3.56
eRos,0.33
eRozj6,0.34
eRotizm,1.64
eRydi,1.43
eRydit,1.43
eRydisj6,0.4
eRypsj6,3.73
eRitEm,0.17
ezoteRizm,0.23
ete,67.27
etabl,5.37
etabli,0.39
etablism@,7.59
etaZER,5.06
etaZ,46.45
etE,0.28
et5,1.19
etal,0.56
etalaZ,2.22
etalm@,0.14
etal6,6.2
etalonaZ,0.45
et@Seite,0.13
et@Sm@,0.2
et@,7.1
etap,15.77
eta,145.72
etamaZOR,5.24
eto,0.75
etENwaR,0.16
et@daR,0.77
et@dy,3.96
etERnEl,1.45
etERnEl,1.45
etERnite,18.2
etERnym@,1
etanOl,0.29
etER,1.43
etik,4.56
etoloZi,0.11
etilizm,0.1
et5sEl,6.3
et5sElm@,0.14
etiktaZ,0.12
etikEt,7.38
etiRaZ,0.14
etiRm@,0.33
etOf,3.1
etwal,54.63
etOl,0.29
etOnm@,1.28
EtOnm@,1.28
etufe,0.17
etufm@,0.64
etuRd9Ri,0.3
etuRdi,0.73
etuRdi,0.73
etuRdism@,0.81
etuRno,0.41
etR@ZER,59.32
etR@Z,3.8
etR@Ze,59.32
etR@Zte,0.39
etR@gl9m@,0.62
etR@gl9R,0.66
etR@gl2z,0.66
etR5t,2.75
etREn,0.17
etRije,0.83
etRwatEs,0.36
etR6,0.75
etRysk,0.12
etyd,44.22
etydj@,38.07
etydj@t,38.07
et8i,2.54
etyv,0.43
evEnm@,6.59
evEnm@,28.57
eveSe,0.14
evEk,5.7
evak8e,0.3
evak8e,0.3
evak8asj6,6.3
evade,1.76
evade,1.76
eval8asj6,3.91
ev@Zelist,1.45
ev@Zil,1.34
evanwism@,0.83
evapoRat9R,0.17
evapoRasj6,0.38
evazj6,9.69
evEj,1.65
ev@,0.15
ev@taj,2.96
ev@tER,0.25
ev@tR9R,0.5
ev@t8alite,2.47
ev@t8El,0.2
evidm@,0.21
evid@s,11.47
evje,3.87
eviseRasj6,0.22
evitm@,0.18
evokasj6,0.55
evol8e,0.22
evol8e,0.22
evolysj6,8.09
il,58.35
ilo,1.2
aEd,0.11
ai,2.31
aid,0.54
aj9l,3.13
aj9l,3.13
aj2,3.13
aeRasj6,2.02
aeRobik,1.21
aeRodRom,2.2
aeRodinamik,0.2
aeRogaR,0.12
aeRoglis9R,0.75
aeRonotik,0.58
aeRonotik,0.58
aeRonaval,0.48
aeRofaZi,0.15
aeRoplan,0.16
aeRopOR,33.13
aeRosOl,0.61
aeRospasjal,0.12
aeRosta,0.16
ene,8.92
ene,8.92
EtR,100.69
EtRla,0.14
abesedER,0.18
abim,6.01
abEsm@,0.31
ab@d6,4.84
aba,0.65
abaZuR,0.51
abataZ,0.65
abatm@,0.18
abat9R,0.14
abati,0.14
abatwaR,3.16
abaty,0.53
abe,4.46
abei,3.94
abEs,4.46
apsE,1.79
abdomEn,2.76
abdo,0.86
abEj,9.11
abe,0.25
abERasj6,1.16
abZEksj6,0.51
ablasj6,0.45
abl,0.68
ablEt,0.14
ablysj6,0.48
abnegasj6,0.91
abwa,0.78
abwam@,1.79
abolisj6,0.45
abolisjonist,0.17
abominasj6,1.94
ab6d@s,2.76
abone,0.87
abone,0.87
abOnm@,4.82
abOR,2.22
abORdaZ,1.22
abu,5.94
abutism@,0.5
abReZe,0.12
abRevjasj6,0.46
abRakadabRa,0.98
abRazif,0.15
abRazj6,0.19
abRaksas,0.29
abR9vwaR,0.35
abRi,25.9
abRiko,1.24
abRogasj6,0.16
abRyti,25.64
abRyti,25.64
abRytism@,0.13
aps@s,22.86
aps@,1.96
aps@teizm,0.14
aps@t,1.96
aps5t,1.28
apsoly,0.78
apsolysj6,1.06
apsolytizm,0.12
apsORpsj6,0.58
apst@sj6,0.14
apstin@s,1.62
apstRaksj6,0.68
apstRE,0.49
apsyRd,2.69
apsyRdite,2.34
aby,4.75
abis,1.07
abis5,0.14
asetat,0.2
asetOn,0.21
asetilEn,0.18
asetilkolin,0.25
akabi,0.17
akasja,0.26
akademisj5,0.35
akademi,10.03
akadj5,0.16
akaZu,0.52
aksE,29.53
akseleRe,0.67
akseleRat9R,2.22
akseleRasj6,1.5
akabl9m@,0.23
akalmi,0.5
aks@,14.56
aksEptasj6,1.24
aksEpsj6,0.15
aksEsj6,0.16
akseswaR,3.87
aksid@,108.21
aksid@te,0.57
aksid@te,0.57
aklamasj6,2.84
aklimatasj6,0.14
akw5t@s,0.14
akolad,0.96
akomOdm@,0.11
ak6paNat9R,0.8
ak6paNatRis,0.8
ak6paNm@,0.65
ak6plism@,1.5
akOR,766.2
akORde,2.58
akORde,2.58
akORde6,3.24
akORd9R,0.25
akOstaZ,0.47
akuSe,0.39
akuSm@,5.96
akuS9R,0.19
akuS2z,0.19
akudwaR,0.46
akupl9m@,0.78
akutR9m@,1.29
akutym@s,0.3
akReditasj6,0.27
akRas,0.1
akRo,2.56
akRo,1.9
akRoSaZ,2.06
akROS,0.65
akRwasm@,0.41
aky,0.11
ak9j,13.83
akymylasj6,0.67
akyze,13.74
akyze,13.74
akyzat9R,0.35
akyzatif,0.11
akyzasj6,19.72
akyzatRis,0.35
as,2.48
aSEvm@,0.52
aSaRn9m@,0.6
aSa,9.75
aSminm@,0.2
aSt9R,6.57
aSt2z,6.57
asjeRi,2.21
asid,9.46
asidite,0.29
asidoz,0.22
asje,13.88
akne,1.9
akolit,1.45
ak6t,3.67
akonit,0.14
akufEn,0.18
akustik,0.57
akeR9R,0.58
akE,0.14
akjEsm@,0.15
aki,0.29
akizisj6,2.15
akite,0.35
akitm@,0.6
akRa,0.27
akR,0.83
akRobasi,0.81
akRonim,0.19
akRilik,0.5
akt,56.81
akt9R,74.77
aktif,1.58
aksj6,69.27
aktivat9R,0.1
aktivasj6,2.27
aktivizm,0.15
aktivist,0.88
aktivite,23.47
aktRis,74.77
akt8alite,3.25
ak8ite,0.56
akyp6kt9R,0.23
akyp6ktyR,0.17
akyp6kt9R,0.11
akyp6ktyR,0.79
adekwasj6,0.14
adaZ,0.62
adadZjo,0.13
adaptabilite,0.16
adaptat9R,0.15
adaptasj6,2.48
adiksj6,0.41
aditif,0.21
adisj6,8.61
adeR@s,0.11
adeR@,0.57
adezif,0.76
adezj6,0.5
adj2,44.44
adZEktif,0.45
adZw5,9.42
adZw5t,9.42
adZyd@,16.6
adZyd@SEf,2.57
adZydikasj6,0.37
administRe,0.47
administRe,0.47
administRat9R,4.95
administRatif,0.11
administRasj6,13.4
administRativ,0.11
administRatRis,4.95
admiRat9R,5.64
admiRasj6,4.54
admiRatRis,5.64
admi,0.12
admisj6,3.42
admonisj6,0.12
adoles@s,2.88
adoles@,6.84
adoles@t,6.84
adonis,0.28
adOpsj6,4.06
adoRat9R,1.34
adoRasj6,0.88
adoRatRis,1.34
ado,3.27
adRenalin,3.57
adREs,73.92
adylat9R,0.1
adylasj6,0.16
adyltER,3.69
adv@tist,0.27
advERb,0.11
advERsite,1.3
afy,1.42
afabilite,0.13
afabylasj6,0.22
afabylatRis,0.14
afeblism@,0.23
afER,393.83
afeRist,0.14
afame,3.39
afame,3.39
afEkt,0.26
afEktasj6,2.93
afEksj6,13.06
afiSaZ,1.3
afiS,9.78
afiSEt,0.26
afilje,0.14
afilje,0.14
afiljasj6,0.33
afinite,1.23
afiRmasj6,1.96
afiRmativ,0.16
afliksj6,1.27
afly@s,0.51
afly@,0.39
afly,0.25
afOlm@,0.89
afR@Si,1.34
afR@Si,1.34
afR,1.23
afR2,2.79
afR6,3.36
afR6tm@,2.66
afg@,1.12
afgan,1.12
afisjonado,0.21
afRik5,2.28
afRikEn,2.28
afRikanism,0.1
afRoameRik5,0.95
afRoameRikEn,0.95
aft9RSav,0.51
aftERSav,0.51
aga,0.65
agasm@,0.21
aZ,3.37
aZ@s,23.15
aZ@sm@,0.19
aZ5da,5.84
aZnujm@,0.27
aZ@,117.9
aZ@t,117.9
aglomeRasj6,0.12
agRavasj6,0.45
aZilite,1
aZjo,0.17
aZism@,1.34
aZitpROp,0.1
aZite,0.72
aZite,0.72
aZitat9R,1.72
aZitasj6,4.73
aZitatRis,1.72
aNo,16.13
aN9lE,0.11
aNEl,0.14
agnusdei,0.47
agoni,4.68
agoniz@,0.23
agoniz@t,0.23
agoRafobi,0.23
agRE,0.24
agReabl,1.29
agReg,0.14
agReZe,0.32
agReZe,0.32
agRegasj6,0.29
agRem@,1.75
agRaf,0.86
agRaf2z,0.79
agR@dism@,0.9
agR@dis9R,0.13
agREs9R,6.87
agRes9R,6.87
agREsj6,12.91
agResj6,12.91
agResivite,2.54
agRikylt9R,1.06
agRikyltRis,1.06
agRikyltyR,3.39
agRym,0.41
ayRi,0.41
ayRi,0.41
EdswaN@,0.4
EdswaN@t,0.4
Egl6,0.47
EgR,0.31
EgREt,0.72
EgR9R,0.56
egRi,0.4
egRi,0.4
egy,0.38
eg8ijaZ,0.6
eg8ij,14.34
eg8ij9R,0.35
eg8ij6,0.36
aj,9.14
El,33.45
ElR6,0.79
elje,1.4
Em@,2.31
En,0.64
En,0.4
ER,485.18
ER5,0.17
ERbag,1.11
ERba,1.11
ER,5.54
EREl,1.12
e,10.14
Ez@s,1.5
Ez,32.73
EsEl,1.29
aZuRn9m@,0.47
aZu,0.94
aZyst9m@,0.85
aZyst9R,0.62
aZytaZ,0.1
alEn,0.24
alea,0.34
al@bik,0.7
alaRm,19.29
alaRmist,0.14
albatR,0.57
albanE,0.36
albanEz,0.36
albatRos,2.01
albOm,11.29
albymin,0.19
alkov,0.84
alkad,0.3
alkali,0.11
alkalOid,0.16
alkatRaz,1.09
alkazaR,0.53
alSimi,1.05
alkOl,41.3
alkolemi,0.58
alkolizm,1.84
alkolo,1.4
alkotEst,0.31
alsj6,0.13
ald,0.22
aldERman,0.14
al,2.1
al@tuR,4.77
alERt,13.45
alEks@dRa,0.51
alEks@dR5,0.82
alz@,0.12
alfa,0.1
alZEbR,1.37
alZeRj5,0.79
alZeRjEn,0.79
alZi,0.27
algoRitm,0.72
alg,2.66
aljene,2.28
aljene,2.28
aljenasj6,1.19
alibi,11.13
aliNm@,1.68
alim,0.21
alim@,4.67
alim@tasj6,5.64
alinea,0.75
alize,0.33
ale,12.17
alegasj6,1.87
aleZ@s,1.64
alegoRi,0.41
alegREs,2.36
aleluja,0.99
alEtm@,0.29
al@,0.41
alm@,49.08
alm@d,49.08
ale,17.78
aleR9tuR,2.33
alERZi,5
alERgOlOZi,0.14
ale,17.78
alje,11.64
alje,11.64
aljaZ,1.07
alj@s,18.85
aligatOR,2.8
alOk,0.59
alokasj6,3.16
alo,0.59
alokysj6,0.33
al6Z,0.48
alOpati,0.14
alyme,1.28
alyme,1.28
alymaZ,1.75
alymsigaR,0.19
alymsigaR,0.14
alymgaz,0.2
alymEt,15.65
alym9R,1.49
alym2z,1.49
alyR,10.57
alyzj6,4.72
alyvj6,0.16
alma,0.86
almanak,1
aloEs,0.23
alwa,0.22
alwEt,1.41
alwajo,0.27
alpaga,0.12
alp,0.14
alfa,2.09
alfabetizasj6,0.3
alfabE,3.16
alpinizm,0.67
alstonja,0.14
alteRasj6,0.64
altERego,0.3
altERkasj6,1.2
altERn@s,0.2
altERnat9R,0.14
altERnativ,5.89
altEs,12.93
altimEtR,0.75
altityd,6.39
altR8izm,0.31
aly,1.06
alyd,0.14
alyminjOm,2.38
alynisaZ,0.52
alveOl,0.2
ameljoRasj6,2.87
amenaZm@,0.69
amenoRe,0.28
ameRik5,45.64
ameRikEn,45.64
ameR5dj5,0.14
ameR5djEn,0.14
ameRik,0.34
ametist,0.22
amabilite,2.91
amegRism@,0.2
amalgam,0.31
am@d,2.19
am@dje,0.4
amanit,0.1
am@,35.03
am@t,1.55
amaRo,2.02
amaRaZ,0.46
amaR,1.66
ama,1.56
amat9Rizm,0.12
amatRis,11.66
amazon,0.55
@baZ,0.29
@basad,9.49
@basad9R,13.85
@basadRis,13.85
@bj@s,12.37
@bidEkstR,0.2
@big8ite,0.52
@bisj2z,0.5
@bisj2,0.5
@bisj6,11.15
@bival@s,0.28
@bl,0.3
@bR,0.93
@bRwazi,0.51
@byl@s,27.55
@byl@sjER,1.64
@byl@sje,1.64
amEn,3.26
am@d,9.37
am@dm@,3.75
amER,0.25
amERisaZ,0.16
amERtym,4.64
am9bl9m@,0.12
amaRik,0.27
ami,747.98
amj@t,0.82
amib,0.4
amid6,0.49
ami,747.98
amigo,6.91
am5sism@,0.1
amiRal,6
amiRote,0.22
amiRo,6
amitje,36.69
amonjak,0.28
amonjak,0.4
amonit,0.4
amonjOm,0.36
amnezi,3.74
amnjos5tEz,0.38
amnisti,2.93
am6,1.4
am6tijado,0.29
amORs,1.76
amORtism@,0.42
amORtis9R,0.85
amuR,458.27
amuRpROpR,2.54
amuREt,0.66
amuR2z,17.43
amuR2,17.43
@pER,0.26
@fe,0.36
@fetamin,1.13
@fi,0.29
@fibj5,0.2
@fiteatR,0.59
@fitRj6,0.13
@fOR,0.46
@pl9R,2.38
@pli,0.98
@plifikat9R,0.29
@plifikasj6,0.21
@plityd,0.29
@pul,7.66
@pyte,0.27
@pytasj6,0.79
amylEt,3.08
amyzg9l,1.23
amyzm@,4.29
amyz9R,0.24
amidal,1.5
amidalEktomi,0.14
amidalit,0.23
@,866.58
ana,4.91
ane@tism@,0.63
anemi,1.31
anemOn,0.17
anevRizm,1.33
anakoREt,0.11
anakRonizm,0.26
anakolyt,0.1
anak6da,0.49
anagRam,0.6
analZezik,0.64
analZezik,0.64
analoZi,0.98
analfabetizm,0.13
analiz,23.26
analiz9R,0.45
anana,2.02
anaRSi,4.18
anaRSizm,0.71
anatEm,1.12
anatomi,3.63
@S,0.17
@Swa,1.3
@sj5,25.42
@sjEn,25.42
@sjEnte,0.9
@kRaZ,0.19
@kR,4.75
@da,1.13
@dalu,0.17
@daluz,0.17
@d@t,0.14
@duj,6.94
@dRoid,0.82
@dRoid,0.82
@dRopoz,0.23
anEkdOt,2.12
anEstezj@,0.44
anEstezi,3.74
anEstezik,0.47
@fRakt8ozite,0.14
@Zelys,0.8
@Z,69.27
@Zlo,0.69
@Zin,1.39
@ZjOgRafi,0.32
@Zjom,0.13
@Zjoplasti,0.19
@glE,51.01
@glEz,51.01
@gl,13.29
@gl2tER,0.2
@gwase,0.16
@gwase,0.16
@gwas,17.82
@golE,0.1
@goRa,0.29
@gij,4.32
anikROS,0.12
animal,80.5
animalRi,0.42
animat9R,2.72
animasj6,1.53
animatRis,2.72
animo,80.5
animozite,1.09
anis,1.05
anizEt,0.15
@kiloz,0.12
ane,316.25
anelymjER,1.16
anal,0.78
ano,21.61
anEks,1.36
anEksj6,0.37
aniilasj6,0.46
aniv,0.26
anivERsER,82.79
an6s,23.76
an6s9R,0.58
an6s2z,0.58
anotasj6,0.25
an8ER,4.56
anylER,0.55
anylasj6,2.46
anomali,3.96
anonima,1.41
anoRak,0.49
anoREksi,0.88
anoREksik,0.25
anORmal,1.33
anORmal,1.33
anORmalite,0.2
anORmo,1.33
@s,0.47
@tesed@,5.71
@tekRist,2.89
@tagonizm,0.17
@talZik,0.5
@t@,1.53
@t,1.12
@tEn,11.59
@toloZi,0.48
@tRaks,1.26
@tRopoloZi,0.78
@tRopofaZi,0.11
@tiavORt9m@,0.12
@tib6b,0.1
@tibR8i,0.16
@tiSaR,0.12
@tidul9R,0.46
@tidROg,0.42
@tig@g,0.33
@tiguvERn9m@,0.1
@ti5s@di,0.16
@timeteoRit,0.2
@timit,0.1
@timustik,0.58
@tipys,0.14
@tiR9ZE,0.2
@tistREs,0.35
@titaS,0.15
@titeRoRizm,0.53
@tiv9n5,0.18
@tivOl,0.36
@tibjotik,5.22
@tibwa,0.14
@tiS@bR,0.89
@tisipasj6,0.63
@tikoagyl@,0.21
@tikomynizm,0.1
@tikOR,1.35
@tidepRes9R,0.98
@tidepREs9R,0.98
@tidOt,4.48
@tidREfyzaR,0.14
@tifaSist,0.26
@tiZEn,0.28
@tig@g,0.12
@tiZEl,0.2
@tiZEl,0.2
@tigRip,0.16
@tiistaminik,0.25
@tijE,0.14
@tijEz,0.14
@tilOp,0.88
@timatjER,0.13
@tipap,0.11
@tipati,0.71
@tipOd,1.21
@tipsikOtik,0.1
@tipsikotik,0.1
@tikaj,0.14
@tikite,4.92
@tiRasism,0.11
@tisemitizm,0.36
@tisEptik,0.17
@tisosjal,0.1
@titEz,0.11
@tiviRal,0.16
@tiviRo,0.16
@tiviRys,0.66
@tivOl,0.3
@tivOl,0.3
@tR,2.96
anys,1.63
@ksjete,3.06
@ksj2z,0.49
@ksj2,0.49
@ksjolitik,0.28
ania,0.26
ut,12.65
aORt,1.16
apotR,2.89
apeRitif,3.29
apeRo,0.78
apEzm@,0.47
apanaZ,0.27
apaRte,0.24
apaRtEjd,0.53
apati,0.91
ap,0.23
apERsy,2.04
ap9z@t9R,0.93
apEks,0.33
afazi,0.2
afRodizjak,1.27
afRodizjak,1.27
api,0.16
apikylt9R,0.1
apikyltRis,0.1
apitwam@,0.29
apl6,1.61
apne,0.6
apokalips,4.87
apoZe,1.4
apolitik,0.2
apoloZi,0.17
apoplEksi,0.33
aposta,0.46
apostat,0.46
apostola,0.1
apostROf,0.15
apoteoz,0.49
apotikER,0.32
apa,6.74
apeti,20.98
apaRa,0.51
apaREj,51.53
apaREjfOto,0.32
apaREjaZ,0.29
apaR@s,17.64
apaRit9R,0.28
apaRisj6,8.02
apaR,18.07
apaRt9m@,76.33
apaRt9n@s,1.83
apa,0.4
apEl,100.18
aple,3.39
apl@,0.42
apelasj6,0.36
ap5dis,1.59
ap5disektomi,0.25
ap5disit,1.75
aplodism@,7.04
aplikat9R,0.28
aplikasj6,2.81
aplik,0.21
apw5,0.35
ap6taZ,0.2
apOR,1.8
apResjasj6,0.94
apRe@sj6,1.28
apRE,0.14
apR9n@,0.16
apR@ti,2.52
apR@ti,2.52
apR@tisaZ,1.86
apRobasj6,2.56
apROS,28.03
apRopRijasj6,0.19
apRovizjOnm@,2.07
apROksimasj6,0.24
ap8i,8.81
apREm,0.22
apRERazaZ,0.45
aptityd,2.74
akwaREl,0.23
akwaRjOm,4.26
akwat5t,0.1
akwavit,0.18
akdyk,0.44
aRa,0.85
aREn,2.5
aRom,1.43
aReopaZ,0.1
aRekie,0.14
aREt,1.6
aRabEsk,0.1
aRabika,0.16
aRaSid,0.51
aRaknid,0.39
aRENe,18.2
aRak,0.41
aRame5,0.45
aRbalEt,0.55
aRbitRaZ,0.52
aRbuz,0.1
aRbuzje,0.14
aRbR,81.69
aRbRiso,0.26
aRbyst,1
aRk,5.25
aRkbut@,0.14
aRk@sjEl,3
aRkad,1.25
aRso,0.17
aRSER,3.77
aRkeoloZi,1.42
aRketip,0.67
aRk@Z,1.3
aRS,3.19
aRSe,3.77
aRSE,0.47
aRS9veSe,0.4
aRS9vEk,3.42
aRSi,0.75
aRSidySEs,0.48
aRSinyl,0.23
aRSidjakR,0.26
aRSidjosEz,0.19
aRSidyk,0.48
aRSipEl,0.49
aRSitEkt,9.98
aRSitEktOni,0.14
aRSitEktyR,4.07
aRSiv,9.42
aRd9nE,0.2
aRd9nEz,0.2
aRd@,0.32
aRd9R,7.08
aRdwaz,3.45
aR,15.8
aRea,0.12
aREk,0.27
aRZ@,515.1
aRZ@tRi,3.11
aRZ@t5,1.83
aRZ@tin,1.83
aRZil,4.26
aRg6,0.38
aRgonot,0.1
aRgo,1.06
aRgym@,9.58
aRgym@tER,0.13
aRgym@tasj6,0.54
aRja,0.81
aRidite,0.14
aRistokRasi,1.6
aRisto,0.4
aRitmetik,0.57
aRme,101.07
aRmada,1.05
aRmaNak,0.66
aRmat9R,0.59
aRmatyR,0.77
aRm,220.22
aRmmiRakl,0.1
aRm9m@,3.34
aRmistis,1.05
aRmwaR,9.79
aRmwaRi,0.36
aRmwaz,0.38
aRmyR,5.46
aRmyRRi,0.94
aRmyRje,0.75
aRnak,6.27
aRnak9R,1.47
aRnak2z,1.47
aRObaz,0.14
aRomat,0.11
aRomateRapi,0.18
aRpEZ,0.2
aRp@,0.56
aRp@taZ,0.2
aRp@t9R,0.25
aRk9byz,0.41
aRk9byzje,0.4
aReRaZ,0.2
aRE,50.88
aRete,2.71
aRaSe,0.28
aRaSaZ,0.1
aRaS9R,0.34
aRaS2z,0.34
aR@Zm@,10.23
aR@Z9R,0.1
aREstasj6,20.59
aR,0.3
aRjER,52.15
aRjERbutik,0.31
aRjERkuR,0.45
aRjERkuz5,0.12
aRjERgaRd,0.47
aRjERgu,0.55
aRjERgR@mER,0.85
aRjERgR@pER,1.48
aRjERgR@paR@,0.16
aRjERpei,0.37
aRjERp@se,0.91
aRjERp9tifis,0.14
aRjERp9titfij,0.13
aRjERp9tiz@f@,0.36
aRjERpl@,0.94
aRjERsal,0.28
aRjERtR5,0.66
aRjeRe,0.79
aRjeRe,0.79
aRimaZ,0.61
aRive,2.52
aRive,42.66
aRivaZ,0.82
aRiv@,0.48
aRiv@t,0.48
aRivizm,0.16
aRivist,0.77
aRog@s,3.92
aRog@,1.12
aRog@t,1.12
aR6dism@,0.95
aRozaZ,1.72
aRoz9R,0.45
aRoz2z,0.45
aRozwaR,0.37
aR,0.94
aRs9nal,2.36
aRs9no,2.36
aRs9nik,1.1
aRsuj,0.23
aR,72.79
aRtER,5.13
aRtefakt,0.13
aRteRjopati,0.16
aRteRjoskleRoz,0.17
aRtefakt,0.67
aRtRit,1.75
