X2_phon,Freq
aby,4.75
abis,1.07
abis5,0.14
asetat,0.2
asetilEn,0.18
akabi,0.17
akasja,0.26
akademisj5,0.35
akadj5,0.16
akaZu,0.52
aksE,29.53
akseleRe,0.67
akseleRat9R,2.22
akabl9m@,0.23
aks@,14.56
akseswaR,3.87
aksid@,108.21
aksid@te,0.57
akomOdm@,0.11
ak6paNat9R,0.8
ak6paNm@,0.65
ak6plism@,1.5
akOR,766.2
akORde,2.58
akORde6,3.24
akORd9R,0.25
akOstaZ,0.47
akuSm@,5.96
akuS9R,0.19
akudwaR,0.46
akupl9m@,0.78
akutR9m@,1.29
akRas,0.1
akRo,2.56
akRo,1.9
akRoSaZ,2.06
akRwasm@,0.41
aky,0.11
ak9j,13.83
akyze,13.74
akyzat9R,0.35
akyzatif,0.11
as,2.48
aSEvm@,0.52
aSaRn9m@,0.6
aSa,9.75
aSminm@,0.2
aSt9R,6.57
asid,9.46
asje,13.88
akolit,1.45
ak6t,3.67
akonit,0.14
akufEn,0.18
akeR9R,0.58
akE,0.14
akjEsm@,0.15
aki,0.29
akite,0.35
akitm@,0.6
akRa,0.27
akRonim,0.19
akRilik,0.5
akt,56.81
akt9R,74.77
aktif,1.58
aktivat9R,0.1
aktivizm,0.15
aktivist,0.88
akyp6kt9R,0.23
akyp6kt9R,0.11
adaZ,0.62
adadZjo,0.13
adaptat9R,0.15
aditif,0.21
adeR@,0.57
adezif,0.76
adj2,44.44
adZEktif,0.45
adZw5,9.42
adZyd@,16.6
adZyd@SEf,2.57
administRe,0.47
administRat9R,4.95
administRatif,0.11
admiRat9R,5.64
admi,0.12
adoles@,6.84
adonis,0.28
adoRat9R,1.34
ado,3.27
adylat9R,0.1
adyltER,3.69
advERb,0.11
afy,1.42
afeblism@,0.23
afeRist,0.14
afame,3.39
afEkt,0.26
afiSaZ,1.3
afilje,0.14
afly@,0.39
afly,0.25
afOlm@,0.89
afR@Si,1.34
afR2,2.79
afR6,3.36
afR6tm@,2.66
afg@,1.12
afisjonado,0.21
afRik5,2.28
afRikanism,0.1
afRoameRik5,0.95
aft9RSav,0.51
aftERSav,0.51
aga,0.65
agasm@,0.21
aZ,3.37
aZ@sm@,0.19
aZ5da,5.84
aZnujm@,0.27
aZ@,117.9
aZjo,0.17
aZism@,1.34
aZite,0.72
aZitat9R,1.72
aNo,16.13
aN9lE,0.11
agnusdei,0.47
agoniz@,0.23
agRE,0.24
agReabl,1.29
agReZe,0.32
agRem@,1.75
agR@dism@,0.9
agR@dis9R,0.13
agREs9R,6.87
agRes9R,6.87
agRikylt9R,1.06
agRym,0.41
ayRi,0.41
EdswaN@,0.4
Egl6,0.47
EgR,0.31
egRi,0.4
egy,0.38
eg8ijaZ,0.6
eg8ij9R,0.35
eg8ij6,0.36
aj,9.14
ElR6,0.79
elje,1.4
Em@,2.31
ER,485.18
ER5,0.17
ERbag,1.11
ERba,1.11
e,10.14
aZuRn9m@,0.47
aZu,0.94
aZyst9m@,0.85
aZyst9R,0.62
aZytaZ,0.1
alea,0.34
al@bik,0.7
albatR,0.57
albanE,0.36
albatRos,2.01
albOm,11.29
alkad,0.3
alkali,0.11
alkalOid,0.16
alkatRaz,1.09
alkazaR,0.53
alkOl,41.3
alkolizm,1.84
alkolo,1.4
alkotEst,0.31
alsj6,0.13
ald,0.22
aldERman,0.14
al@tuR,4.77
alEks@dRa,0.51
alEks@dR5,0.82
alz@,0.12
alfa,0.1
alZeRj5,0.79
algoRitm,0.72
aljene,2.28
alibi,11.13
aliNm@,1.68
alim@,4.67
alinea,0.75
alize,0.33
aleluja,0.99
alEtm@,0.29
al@,0.41
alm@,49.08
ale,17.78
aleR9tuR,2.33
alje,11.64
aljaZ,1.07
aligatOR,2.8
alyme,1.28
alymaZ,1.75
alymsigaR,0.19
alymsigaR,0.14
alymgaz,0.2
alym9R,1.49
almanak,1
aloEs,0.23
alwa,0.22
alwajo,0.27
alpaga,0.12
alfa,2.09
alfabE,3.16
alpinizm,0.67
altERego,0.3
altERnat9R,0.14
altimEtR,0.75
altR8izm,0.31
aly,1.06
alyminjOm,2.38
alynisaZ,0.52
alveOl,0.2
amenaZm@,0.69
ameRik5,45.64
ameR5dj5,0.14
amegRism@,0.2
amalgam,0.31
am@dje,0.4
am@,35.03
amaRo,2.02
amaRaZ,0.46
ama,1.56
amat9Rizm,0.12
@basad9R,13.85
@bisj2,0.5
@bl,0.3
@bR,0.93
@byl@sje,1.64
amEn,3.26
am@dm@,3.75
amER,0.25
amERisaZ,0.16
am9bl9m@,0.12
amaRik,0.27
ami,747.98
amj@t,0.82
amid6,0.49
amigo,6.91
am5sism@,0.1
amiRal,6
amiRo,6
amonjak,0.28
amonjOm,0.36
am6,1.4
am6tijado,0.29
amORtism@,0.42
amORtis9R,0.85
amuR,458.27
amuRpROpR,2.54
amuR2,17.43
@pER,0.26
@fe,0.36
@fi,0.29
@fibj5,0.2
@fiteatR,0.59
@fitRj6,0.13
@pli,0.98
@plifikat9R,0.29
@pyte,0.27
amyzg9l,1.23
amyzm@,4.29
amyz9R,0.24
@,866.58
ana,4.91
ane@tism@,0.63
anevRizm,1.33
anakoREt,0.11
anakRonizm,0.26
anak6da,0.49
analZezik,0.64
analfabetizm,0.13
analiz9R,0.45
anana,2.02
anaRSizm,0.71
anatEm,1.12
@Swa,1.3
@sj5,25.42
@kRaZ,0.19
@da,1.13
@dalu,0.17
@d@t,0.14
@dRoid,0.82
anEstezj@,0.44
anEstezik,0.47
@Zelys,0.8
@Z,69.27
@Zlo,0.69
@Zjom,0.13
@glE,51.01
@gl,13.29
@gwase,0.16
@golE,0.1
@goRa,0.29
animal,80.5
animat9R,2.72
animo,80.5
anis,1.05
ano,21.61
aniv,0.26
anivERsER,82.79
an6s9R,0.58
an8ER,4.56
anylER,0.55
anonima,1.41
anoRak,0.49
anORmal,1.33
anORmo,1.33
@tesed@,5.71
@tekRist,2.89
@tagonizm,0.17
@talZik,0.5
@t@,1.53
@tRaks,1.26
@tiavORt9m@,0.12
@tibR8i,0.16
@tiSaR,0.12
@tig@g,0.33
@tiguvERn9m@,0.1
@ti5s@di,0.16
@timustik,0.58
@tiR9ZE,0.2
@tistREs,0.35
@titeRoRizm,0.53
@tiv9n5,0.18
@tivOl,0.36
@tibjotik,5.22
@tibwa,0.14
@tikoagyl@,0.21
@tikomynizm,0.1
@tikOR,1.35
@tidepRes9R,0.98
@tidepREs9R,0.98
@tidOt,4.48
@tidREfyzaR,0.14
@tifaSist,0.26
@tiZEn,0.28
@tiZEl,0.2
@tiistaminik,0.25
@tijE,0.14
@tipap,0.11
@tipOd,1.21
@tipsikOtik,0.1
@tipsikotik,0.1
@tiRasism,0.11
@tisemitizm,0.36
@tisEptik,0.17
@tisosjal,0.1
@tiviRal,0.16
@tiviRo,0.16
@tiviRys,0.66
@tivOl,0.3
@tR,2.96
anys,1.63
@ksj2,0.49
@ksjolitik,0.28
ania,0.26
ut,12.65
apotR,2.89
apeRitif,3.29
apeRo,0.78
apEzm@,0.47
apanaZ,0.27
apaRte,0.24
apaRtEjd,0.53
ap,0.23
apERsy,2.04
apEks,0.33
afRodizjak,1.27
api,0.16
apikylt9R,0.1
apitwam@,0.29
apl6,1.61
apoZe,1.4
apolitik,0.2
aposta,0.46
apostola,0.1
apotikER,0.32
apa,6.74
apeti,20.98
apaRa,0.51
apaREj,51.53
apaREjfOto,0.32
apaREjaZ,0.29
apaRit9R,0.28
apaR,18.07
apaRt9m@,76.33
apa,0.4
apEl,100.18
aple,3.39
apl@,0.42
ap5dis,1.59
aplodism@,7.04
aplikat9R,0.28
apw5,0.35
ap6taZ,0.2
apOR,1.8
apRE,0.14
apR9n@,0.16
apR@ti,2.52
apR@tisaZ,1.86
apRovizjOnm@,2.07
ap8i,8.81
apRERazaZ,0.45
akwaRjOm,4.26
akwavit,0.18
akdyk,0.44
aRa,0.85
aRom,1.43
aReopaZ,0.1
aRekie,0.14
aRabika,0.16
aRaknid,0.39
aRak,0.41
aRame5,0.45
aRbitRaZ,0.52
aRbuzje,0.14
aRbR,81.69
aRbRiso,0.26
aRbyst,1
aRk,5.25
aRkbut@,0.14
aRk@sjEl,3
aRso,0.17
aRketip,0.67
aRk@Z,1.3
aRSe,3.77
aRSE,0.47
aRS9veSe,0.4
aRS9vEk,3.42
aRSi,0.75
aRSinyl,0.23
aRSidjakR,0.26
aRSidjosEz,0.19
aRSidyk,0.48
aRSipEl,0.49
aRd9nE,0.2
aRd@,0.32
aR,15.8
aREk,0.27
aRZ@,515.1
aRZ@t5,1.83
aRg6,0.38
aRgonot,0.1
aRgo,1.06
aRgym@,9.58
aRgym@tER,0.13
aRja,0.81
aRisto,0.4
aRmaNak,0.66
aRmat9R,0.59
aRm9m@,3.34
aRmistis,1.05
aRmyRje,0.75
aRnak9R,1.47
aRomat,0.11
aRpEZ,0.2
aRp@,0.56
aRp@taZ,0.2
aRp@t9R,0.25
aRk9byzje,0.4
aReRaZ,0.2
aRE,50.88
aRete,2.71
aRaSe,0.28
aRaSaZ,0.1
aRaS9R,0.34
aR@Zm@,10.23
aR@Z9R,0.1
aRjER,52.15
aRjERkuz5,0.12
aRjERgu,0.55
aRjERgR@pER,1.48
aRjERgR@paR@,0.16
aRjERpei,0.37
aRjERp9tifis,0.14
aRjERp9tiz@f@,0.36
aRjERpl@,0.94
aRjERtR5,0.66
aRjeRe,0.79
aRimaZ,0.61
aRive,2.52
aRivaZ,0.82
aRiv@,0.48
aRivizm,0.16
aRivist,0.77
aRog@,1.12
aR6dism@,0.95
aRozaZ,1.72
aRoz9R,0.45
aRozwaR,0.37
aR,0.94
aRs9nal,2.36
aRs9no,2.36
aRs9nik,1.1
aRsuj,0.23
aR,72.79
aRtefakt,0.13
aRtefakt,0.67
aRtiSo,2.39
aRtikl,44.45
aRtifis,6.95
aRtifisje,0.79
aRtij9R,0.79
aRtim6,0.22
aRtiz@,3.09
aRtizana,0.77
aRyspis,0.15
as,18.8
asetizm,0.14
askaRis,0.2
as@d@,0.67
as@s9R,25.34
asdik,0.1
aSR@,0.16
azil,26.56
asosjal,0.1
asosjo,0.1
aspE,12.78
asfalt,1.4
aspik,0.54
aspiR@,1.35
aspiRat9R,4.52
asESm@,0.23
asaj@,0.87
asenism@,0.26
asEzOnm@,0.52
asas5,55.37
asasina,8.38
aso,12.12
as@blaZ,1.01
as@bl9R,0.12
as@tim@,0.17
asERvism@,0.11
ases9R,0.73
asjeZe,0.27
asiNa,0.15
asiste,0.39
asist@,31.93
asosje,22.51
asORtim@,1.12
asupism@,0.1
asyRe,0.8
asyR9R,1.93
asteRism,0.14
asteRoid,2.28
astER,0.42
asm,3.14
astiko,2.18
astRak@,0.14
astR,3.13
astRonEf,0.27
astRofizisj5,0.14
atam@,0.1
at9lje,16.95
atERmwam@,0.28
ate,1.77
ateizm,0.29
atletizm,0.56
atl@t,0.28
atlas,0.93
atOl,0.15
atom,2.85
atomiz9R,0.11
atuR,1.09
atu,5.74
atRijOm,0.3
ataSe,2.63
ataSm@,3.33
atak@,1.13
ataRde,1.58
atlaZ,1.52
at@dRism@,0.1
at@dy,0.63
at@ta,14.58
ateRisaZ,9.06
atiRaj,1.52
atORnE,0.15
atuSm@,0.33
atRE,1.76
atRapnigo,0.1
atRap9R,1.2
atRiby,1.13
atRupm@,0.17
od9la,3.98
odima,1.39
odjoviz8El,0.16
odit,0.54
odit9R,3.15
oditwaR,0.62
oditoRjOm,0.8
Ogm@,0.2
ogyR,3.21
ogyst,0.14
omonje,1.51
oRikylER,0.42
ospis,0.21
otEl,8.27
ot9R,23.52
otizm,0.31
otist,0.4
otostOp,1.06
otostop9R,0.67
otobR6z@,0.16
otobys,4.67
otokaR,2.33
otokol@,2.07
otok8iz9R,0.28
otodidakt,0.3
otogRaf,8.52
otomatik,1.29
otomatizm,0.18
otOn,16.91
otopORtRE,0.85
otoRadjo,1.4
otuR,0.42
otR,7.48
otRiSj5,4.25
ov@,0.46
avEnm@,0.53
ave,0.11
aval,2.08
aval9R,0.68
av@s6,0.71
av@sm@,3.34
av@,8.05
av@bRa,0.84
av@s@tR,0.28
av@kuR9R,0.1
av@gu,1.25
av@pOst,2.15
av@taZ,24.63
avataR,2.55
ave,3.75
avn@,0.27
avniR,72.61
av@tyRje,2.51
avERtism@,9.6
avERtis9R,0.15
av2,11.15
av9gl9m@,1.79
avjat9R,3.09
avilism@,0.16
avj6,128.35
avj6kaRgo,0.2
aviR6,1.73
avi,139.22
avokaj6,0.16
avoka,112.69
avORt9m@,5.24
avORt9R,0.37
avORt6,1.44
avwe,0.47
avRil,11.23
awak,0.12
aks,3.05
aksjom,0.11
aksis,3.87
ajatola,0.53
azimyt,0.78
azOt,1.05
asulexo,0.1
azulexOs,0.1
azyR,2.98
be,31.78
bavwaR,0.26
babOR,1.97
bajm@,0.53
baj6,0.64
ba,0.12
bataR,13.66
batim@,27.58
batis9R,1
bat6,18.11
batonE,0.83
batonje,0.16
bySe,3.82
bySR6,3.33
byS9R,0.2
bebe,191.63
beko,0.42
bedw5,0.23
begEm@,0.54
beg5,3.11
belje,1.51
bemOl,0.88
benedisite,0.43
benedikt5,0.19
benefis,8.97
benevola,0.98
benEf,0.71
benitje,0.8
beosj5,0.23
beRE,1.5
beRibeRi,0.18
beRiljOm,0.2
betaj,9.71
betEl,2.94
bet6,6.41
beton9R,0.32
bES9R,0.4
bElm@,0.12
bEta,2.36
baba,1.05
bab9R,0.13
babijaZ,0.34
babw5,2
bebi,13.2
babifut,0.55
babisitiG,1.63
babilonj5,0.11
bak,9.99
bakaloRea,0.49
bakaRa,0.22
baSo,0.29
basil,0.45
bak,4.82
bakgam6,0.66
bak6,4.5
badamje,0.27
bado,0.54
badZ,7.14
badinaZ,0.16
badmintOn,0.18
bagaZ,29.69
bagaR9R,0.49
baNaR,0.6
baN,2.5
bagu,0.25
bat,0.52
bay,1.59
bEN9R,0.43
baj,11.49
baj9R,0.56
b5,74.48
bEzm5,0.81
beze,52.17
bEz9R,2
bEzodRom,0.46
bEsm@,0.27
bese,0.34
bakSiS,0.31
baklava,0.24
bal,30.25
balEz,0.69
balad9R,0.34
balad5,0.14
balE,10.91
balEbROs,0.4
bal@sm@,0.83
bal@sje,0.26
balEjaZ,1.69
balEj9R,0.82
balk6,10.53
baldak5,0.66
balenje,0.3
balizaZ,0.12
baltRap,0.2
balast,1.44
balE,8.66
balOS,0.12
bal6,32.92
bal6s6d,0.14
balo,1.01
balyS6,0.18
baluR,0.73
balza,0.13
balyS6,0.97
b@b5,1.35
b@bino,0.37
b@binOs,0.37
b@bu,1.73
b@,1.66
bananje,0.76
b@,10.76
b@titR,0.14
b@daZ,4.76
b@dana,0.5
b@do,2.6
b@dRijRo,0.1
b@dRijROs,0.1
b@di,19.7
b@ditizm,0.47
b@g,2.37
b@dZo,3.13
b@lj2zaR,0.23
bani,0.51
banism@,0.62
b@kRutje,0.11
b@kE,4.41
b@kje,6.38
b@tu,0.14
baobab,0.58
batEm,4.84
bakE,0.48
baR,67.57
baREm,0.31
baRagw5,0.12
baRagwinaZ,0.1
baRakm@,1.35
baRat5,4.03
baRatin9R,0.74
baRataZ,0.1
baRb9kju,5.87
baRb9le,3.56
baRbje,3.62
baRbityRik,0.8
baRbujaZ,0.3
baRby,1.7
baRda,1.62
baRdo,0.11
baRdolino,0.14
baRdo,0.27
baRil,2.71
baRijE,0.69
baRin,0.22
baRZo,1.01
baRZo,0.32
baRman,7.91
baRmEn,7.91
baRomEtR,0.57
baR6,20.82
baRonE,0.1
baROk,0.13
baRud9R,0.32
baRuf,0.28
baRakyda,2.26
baRakuda,2.26
baRaZ,13.4
baRo,7.61
baRit6,0.83
ba,71.78
bakote,0.6
baf6,1.05
bav@tR,0.23
bEzbOl,10.12
bezbal,6.95
bazilik,1.86
baskEtbOl,1.38
baskEt9R,0.43
basE,0.7
bas5,5.03
basinE,0.16
bast5gaZ,0.23
bastj6,1.49
bast6,1.51
bastR5g,0.5
batakl@,0.25
bataj6,8.13
bato,124.82
bat9lje,0.36
batifolaZ,0.25
bataZ,0.18
bat@,1.73
batm@,5.28
bat9R,4.61
baty,0.44
bo,0.22
bodE,0.13
bodRije,0.18
bo,0.19
bavaR,1.81
bavaRdaZ,3.57
bav9R,0.16
bav2,0.22
bajadER,0.21
baju,0.81
bazaR,8.36
bazaR,0.2
bazuka,1.57
bibOp,0.31
big9l,0.15
big9ls,0.15
bitnik,0.45
bo,50.85
bofis,1.29
bofRER,13.14
bopER,16.54
bopapa,0.23
bof,1.07
bozaR,2.19
bopaR@,1.52
bEk,7.39
bEkd9ljEvR,0.1
bEkfig,0.27
b9do,0.25
biftEk,0.21
bip9R,0.34
befRwa,0.47
bEZ,0.27
bENE,8.69
bElk@to,0.26
bElatR,0.32
bElvedER,0.18
b5,61.43
b9nE,1.3
benediktys,0.11
b5galE,0.27
b5gali,0.26
b5Zam5,0.81
b5zEn,0.12
b5zonaftOl,0.1
b9R,0.16
bERkaj,2.33
bERso,7.05
bERZe,11.84
bERl5go,0.15
bERlinwa,0.18
bERmyda,0.12
bERsaglije,0.23
bERsaglje,0.23
b9zoN2,0.12
b9zw5,771.24
bEst,0.52
bEstsel9R,1.09
bEstOf,0.17
bEstjo,2.54
b2gl9m@,0.19
b9R,15.14
b9Rje,0.12
bE,2.06
bi,1.27
bjE,1.6
biatl6,0.3
biblo,1.52
bibR6,6.65
bibi,0.56
bik,0.44
bikaRbonat,1.2
bis@tnER,0.36
bisEps,1.62
biS6,0.46
bikORn,0.16
biko,0.11
bisikl,0.29
bidas,0.37
bid,3.73
bidE,0.69
bid6,8.02
bid6vil,0.72
bidyl,1.1
bjEf,0.1
bj5,106.6
bj5nEtR,4.28
bj5neme,8.5
bj5f6de,0.31
bj5fE,2.51
bj5fEt9R,3.4
bj5n2R2,1.22
bj5vny,14.3
bj5vny,22.63
bift6,0.29
biftEk,1.45
bift6,0.64
bigb@g,0.38
bigORn,0.2
bigl2,1.88
bigofOn,0.17
bigORno,1.01
bigo,0.5
bigudi,0.73
biZu,8.37
biZutje,1.64
biZu,20.64
bikini,2.98
bil@,6.13
bil,0.56
bijaR,7.84
bijE,83.87
bilj6,0.42
bijo,0.69
binom,0.27
biGo,9.08
binju,0.29
binOkl,0.18
bip,7.68
bipbip,0.47
bipEd,0.78
bipl@,0.32
bikE,0.54
biRm@,0.29
bis,0.36
biSOf,0.14
biskoto,0.21
bisk8i,12.72
biz6,2.65
bizu,18.4
bistuRi,0.79
bistRo,0.63
bistRo,3.3
bit,1.24
bitER,0.16
bit9R,0.16
bitym,1.12
bivwak,0.41
biznEs,2.02
bizy,2.3
bizytaZ,1.02
blabla,1.51
blablabla,0.41
blam,2.04
ble,19.98
blabla,0.81
blablabla,0.88
blak,4.07
blakdZak,0.75
blakaut,1
blag9R,0.35
blERo,4.14
bl@,46.88
bl@bEk,1.5
bl@bl2,0.16
bl@Sim@,0.75
bl@SisaZ,0.31
bl@Sis9R,1.11
blaz,0.12
blaz6,0.33
blasfEm,5.51
blasfemat9R,0.68
blaz,0.53
blazER,0.36
blEd,5.67
blese,21.88
bl2,26.12
bl2E,1.98
bl5de,1.37
bl5daZ,0.59
blini,0.93
blinis,0.93
blizaR,1.12
blOb,0.19
blOk,17.28
blOknOt,0.47
blokaZ,1.73
blOk,1.06
blOkos,1.77
blokys,1.43
bl6,22.65
bl6dinE,0.45
blOdimaRi,1.32
blok9R,0.24
blo,0.71
bluz6,7.15
bludZin,0.17
bludZins,0.17
bluz,7.81
bl9f,3.02
bl9f9R,0.3
bl9S,0.2
boa,1.62
bwatje,1.04
bOb,0.71
bobaR,3.13
bobi,0.32
bobo,2.42
bObslEg,0.91
bokaZ,0.14
bokal,3.83
boko,3.83
bOk,0.11
bodizatva,0.38
bodo,1
bOdi,1.24
b9f,10.39
b2,10.39
bOgi,0.14
boEm,2.17
boemj5,4.08
bwaR,2.67
bwa,115.56
bwaso,0.42
bwas2lje,0.27
bwat2,2.32
bOl,17.62
boleRo,0.56
bOlS9vizm,0.11
bolid,0.49
bOlivj5,0.39
bolivj5,0.39
b6baRd9m@,6.45
b6baRdje,3.02
b6baRd6,0.27
b6biks,0.12
b6,102.33
b6b6,23.45
b6,4.69
b6daZ,0.41
b6go,0.21
bon9R,78.74
bonOm,10.57
bonim@,1.3
bonim@t9R,0.18
b6ZuR,570.57
bonE,8.37
b6zaj,0.23
b6zOm,10.57
b6swaR,161.17
bonys,3.8
b6zaj,0.14
b6z,0.91
bugiwugi,0.28
buk,2.89
bukmEk9R,2.07
bum,2.83
bum9R,2.19
bumR@g,2.17
buste,0.63
bust9R,0.63
butleg9R,0.22
buts,0.54
bOp,0.19
boRaks,0.16
bORboRigm,0.28
bOR,79.9
bORdo,0.66
bORdEl,98.77
bORd9lE,0.14
bORd9Ro,1.09
bORdERlin,0.14
bOR,0.17
bORnaZ,0.1
boRO,0.18
bORtS,1.03
bOskE,0.8
bOs,13.45
bos9R,0.59
bosy,4.74
bOstOn,0.44
bot9R,0.14
botje,0.25
bot5,1.05
botylizm,0.15
bubu,0.11
buk,8.49
buk@,3.22
bukanje,0.36
buStRu,0.25
buSe,8.26
buS6,7.25
buklaZ,0.27
buklije,14.45
buda,0.57
budizm,0.42
bud5,2.85
budwaR,0.94
bw2,0.36
buf,14.51
buf9R,0.84
buf6,6.79
buZe,0.26
buZ,34.79
buZwaR,0.21
buNul,0.11
bugR@,0.23
bugR,4.75
bwibwi,0.39
buji,0.18
buj6,4
bujOnm@,0.12
bul@Ze,3
buld9R,0.46
bulo,1.08
buldOg,0.81
bulE,2.95
bulvaR,4.87
bulvERs9m@,0.46
bulguR,0.15
bulje,0.16
bul6,2.72
bulo,202.97
bum,7.01
bukE,9.35
bukt5,0.16
buk5,13.49
buRbje,1.12
buRb6,2.76
buRdij6,0.14
buRd6,1.28
buRdOnm@,1.71
buR,1.6
buRZwa,6.02
buRZ6,0.63
buRgmEstR,1.02
buRgON,0.52
buRaZ,0.15
buRo,9.83
buRlE,0.49
buRiS6,0.4
buRiko,0.52
buR5,0.56
buRikE,0.16
buRsje,0.17
buz2,2.44
buzijaZ,0.15
